url,title,information
https://cuet.nta.nic.in/syllabus/,CUET Official website,Syllabus for all subjects
https://cdnbbsr.s3waas.gov.in/s3d1a21da7bca4abff8b0b61b87597de73/uploads/2025/03/2025030186.pdf,2025 Syllabus,Syllabus for Chemistry for CUET 2025
